Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Honduras,26.764,,25.385,26.828,27.817,28.675,28.917,29.09,28.779,27.598,27.574,28.225,25.68,25.466,28.309,31.435,29.146,28.686,28.229,26.434,28.168,25.176,26.978,25.603,22.66,
Haiti,23.567,,15.954,17.164,19.57,16.293,22.184,21.802,24.174,25.765,22.273,21.583,20.452,22.038,18.896,18.574,18.041,19.064,18.756,18.253,18.572,17.789,17.318,17.467,16.676,
Indonesia,25.995,,20.716,23.127,24.289,24.877,29.7,33.621,37.074,35.297,34.428,34.796,32.22,33.121,33.382,37.269,38.093,40.228,41.011,39.194,40.858,39.43,40.361,38.884,36.831,
India,43.582,,36.591,36.771,40.002,39.566,43.199,41.228,41.883,40.866,40.531,37.922,37.674,38.325,39.476,40.872,42.081,43.312,43.645,43.435,42.704,41.767,41.934,41.067,41.877,
Kenya,28.111,,28.158,32.621,29.744,26.681,28.699,28.402,26.574,25.417,30.561,29.195,28.12,28.937,30.97,28.197,29.621,29.666,30.97,31.467,32.663,33.467,32.648,32.482,31.625,
Kyrgyz Republic,27.112,,26.908,26.872,25.169,20.696,20.31,20.927,21.362,20.674,24.727,23.345,24.378,24.075,24.134,23.41,23.767,24.408,26.711,27.964,26.633,24.408,23.516,23.635,24.851,
Kiribati,,,,,56.696,54.369,52.792,53.556,49.773,47.701,49.241,52.625,50.798,50.802,53.564,53.61,52.941,52.915,52.96,54.95,54.968,54.624,54.612,54.571,55.437,
Lao PDR,32.849,,32.732,32.693,25.346,22.327,21.519,22.002,22.669,22.668,23.766,24.571,24.683,26.06,27.088,27.617,28.671,27.434,25.384,25.488,26.381,26.048,27.665,28.329,28.02,
Liberia,36.854,,25.383,25.354,22.618,20.183,31.995,33.283,35.166,38.973,39.507,36.381,38.276,34.41,31.79,32.99,30.699,30.593,27.903,27.793,29.299,27.824,26.643,27.368,26.654,
St. Lucia,,,,,52.089,70.781,70.877,70.808,70.827,70.826,75.215,75.182,71.529,71.534,54.942,59.398,59.418,58.011,57.035,57.461,55.513,55.347,55.372,55.49,56.949,
Sri Lanka,46.622,,44.311,43.53,46.731,42.949,43.271,45.064,42.443,43.973,42.563,42.833,41.648,41.573,38.743,40.945,42.774,41.624,43.711,44.537,42.267,41.039,40.702,40.025,40.066,
Lesotho,38.345,,38.529,38.707,41.487,45.333,49.377,48.338,50.02,51.852,51.476,51.916,50.793,52.868,50.382,48.861,48.272,48.805,48.272,47.284,47.659,44.73,44.892,41.77,41.733,
