Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Kiribati,10.042,11.649,,,,,,,,,,,12.499,12.09,11.513,10.768,11.646,11.476,12.92,14.52,16.23,13.987,14.786,16.391,,
Lao PDR,1.504,1.99,2.825,,2.413,2.414,2.959,3.078,2.279,1.655,1.71,1.708,1.821,3.234,2.938,2.737,2.774,2.498,2.335,2.122,1.916,1.859,1.461,1.234,,
Liberia,,,,,,,,,1.702,,,,1.777,1.691,2.2,2.116,2.115,2.663,2.504,2.165,2.136,2.424,2.276,2.267,,
St. Lucia,,5.707,,3.534,3.436,4.239,4.697,,4.484,3.068,3.483,3.599,3.291,3.877,3.891,3.881,5.21,3.627,3.333,3.273,3.615,5.862,4.642,2.742,3.847,
Sri Lanka,,,,,,,,,,2.056,1.662,1.743,1.453,1.565,1.859,2.11,3.229,2.593,1.988,,1.558,1.507,1.204,1.828,,
Lesotho,10.092,9.365,10.1,13.22,11.109,12.08,11.271,,12.329,,,,,,,7.643,7.552,8.155,7.284,,,,,7.29,6.623,
Moldova,4.486,4.847,5.498,5.425,6.771,7.163,7.499,8.293,8.237,9.51,7.592,7.136,6.983,5.91,6.338,5.767,5.672,5.71,5.539,6.226,6.601,5.824,6.104,6.557,,
Madagascar,2.439,2.707,2.232,2.611,2.813,3.31,2.831,2.903,2.554,2.825,2.289,2.382,2.341,1.777,2.381,2.21,2.687,2.701,2.844,3.013,3.254,3.198,3.068,3.048,,
Maldives,,,5.792,5.324,4.662,5.017,4.645,4.418,4.47,5.082,3.633,3.081,3.341,3.388,3.089,3.869,3.661,3.823,3.857,4.124,5.848,4.614,4.673,5.167,,
Marshall Islands,,,8.195,11.844,,,,,,,,,,,,,,,,9.882,13.835,15.182,7.701,,,
Mali,2.972,2.658,2.896,3.806,2.959,2.747,,,2.731,3.144,2.709,3.146,2.907,2.758,3.093,3.197,2.592,3.181,2.982,3.0,3.337,3.664,4.045,4.185,,
Myanmar,,,,,,,,,,,,0.787,,,,,,2.167,1.992,2.0,,,,,,
Mongolia,5.55,,7.211,,4.326,,,4.69,,5.145,4.645,4.609,5.195,4.941,4.715,4.224,5.183,4.069,,,,,,3.658,5.212,
Mozambique,,,,,3.198,3.858,3.736,,,,5.245,5.531,5.558,6.036,6.399,5.915,5.801,5.487,5.39,6.0,6.171,6.341,5.976,,,
Mauritania,,2.107,2.277,2.365,1.951,,1.959,,,,,2.331,2.158,2.294,2.558,2.83,1.944,,,1.823,1.803,1.892,1.39,4.715,7.61,
Malawi,3.606,3.098,,2.21,,,,,,,2.432,2.853,2.529,3.722,3.326,3.854,3.283,2.769,3.323,,,,2.749,,,
Niger,2.565,2.28,2.401,1.937,,,2.559,3.015,2.723,3.336,2.722,3.078,3.187,3.69,5.104,4.487,2.958,2.578,3.45,3.534,3.819,3.822,3.712,4.074,,
Nigeria,,,,,,,,,,,,,0.549,0.534,0.471,0.437,0.393,0.396,0.42,0.358,0.36,0.382,0.349,0.319,,
Nicaragua,3.002,,2.391,2.422,,,,,,,4.484,,,,4.083,4.078,4.081,4.358,4.474,4.6,4.58,4.087,3.8,2.87,,
Nepal,2.975,3.708,3.153,3.114,3.172,3.365,3.605,3.517,3.805,4.664,3.632,3.843,3.297,3.018,3.472,3.259,3.903,4.767,4.434,3.892,4.244,4.428,4.136,3.956,3.688,
Pakistan,1.838,,,,1.443,1.671,1.981,2.235,2.273,2.179,2.053,2.001,1.979,2.237,2.204,2.386,2.668,2.576,2.332,2.215,2.057,1.687,1.973,1.947,,
Papua New Guinea,,,,,,,,,,,,,,,,1.625,0.854,1.965,1.875,0.762,0.898,0.714,0.643,0.782,,
