"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"GOV_WGI_CC_SC","Control of Corruption - Governance score (0-100)","Control of Corruption (CC) captures perceptions of the extent to which public power is used for private gain, including both petty and grand corruption, as well as capture of the state by elites and private interests.

Governance score is a linear transformation of the governance estimate using hypothetical worst-case and base-case countries. It is an absolute score ranging from 0-100. Larger values correspond to better governance.

The (country-series-time) metadata include the (a) number of sources, and (b) confidence intervals (lower and upper bound). The number of sources indicates the number of underlying data sources on which the governance score (respectively the underlying governance estimate) is based. The confidence intervals include the lower and upper bound of the 90% confidence interval for the governance score. Confidence intervals are a statistical range of values that likely contain the true value (of what is being estimated).","The Worldwide Governance Indicators: Revised Methodology for Measuring Governance Using Perception Data., World Bank Group (WBG), uri: https://www.worldbank.org/en/publication/worldwide-governance-indicators, note: Detailed documentation of the WGI, interactive tools for exploring the data, and full access to the underlying source data available at www.govindicators.org. Worldwide Governance Indicators, 2025 Revision, World Bank (www.govindicators.org), Accessed on 12/15/2025. And: World Bank (2025). “The Worldwide Governance Indicators: Revised Methodology for Measuring Governance Using Perception Data.” Washington, DC: World Bank Group. The 2025 revision builds upon the original WGI methodology which was introduced in 1999 and summarized by the following paper: Kaufmann, Daniel & Aart C. Kraay. (2024). “The Worldwide Governance Indicators: Methodology and 2024 Update.” Policy Research Working Paper. Washington, DC: World Bank Group., date accessed: 2026-06-03, date published: 2025",
"GOV_WGI_CC_SC","Control of Corruption - Governance score (0-100)","Control of Corruption (CC) captures perceptions of the extent to which public power is used for private gain, including both petty and grand corruption, as well as capture of the state by elites and private interests.

Governance score is a linear transformation of the governance estimate using hypothetical worst-case and base-case countries. It is an absolute score ranging from 0-100. Larger values correspond to better governance.

The (country-series-time) metadata include the (a) number of sources, and (b) confidence intervals (lower and upper bound). The number of sources indicates the number of underlying data sources on which the governance score (respectively the underlying governance estimate) is based. The confidence intervals include the lower and upper bound of the 90% confidence interval for the governance score. Confidence intervals are a statistical range of values that likely contain the true value (of what is being estimated).","The Worldwide Governance Indicators: Revised Methodology for Measuring Governance Using Perception Data., World Bank Group (WBG), uri: https://www.worldbank.org/en/publication/worldwide-governance-indicators, note: Detailed documentation of the WGI, interactive tools for exploring the data, and full access to the underlying source data available at www.govindicators.org. Worldwide Governance Indicators, 2025 Revision, World Bank (www.govindicators.org), Accessed on 12/15/2025. And: World Bank (2025). “The Worldwide Governance Indicators: Revised Methodology for Measuring Governance Using Perception Data.” Washington, DC: World Bank Group. The 2025 revision builds upon the original WGI methodology which was introduced in 1999 and summarized by the following paper: Kaufmann, Daniel & Aart C. Kraay. (2024). “The Worldwide Governance Indicators: Methodology and 2024 Update.” Policy Research Working Paper. Washington, DC: World Bank Group., date accessed: 2026-06-03, date published: 2025",
